,0
996,-3891.649612861372
997,-3889.5256792075193
998,-3887.4046271658913
999,-3885.286450159868
1000,-3883.1711416339344
1001,-3881.058695053584
1002,-3878.949103905236
1003,-3876.8423616961422
1004,-3874.738461954314
1005,-3872.637398228425
1006,-3870.539164087732
1007,-3868.4437531219946
1008,-3866.35115894138
1009,-3864.261375176391
1010,-3862.174395477779
1011,-3860.0902135164574
1012,-3858.0088229834273
1013,-3855.9302175896864
1014,-3853.8543910661556
1015,-3851.78133716359
1016,-3849.7110496525156
1017,-3847.643522323121
1018,-3845.578748985203
1019,-3843.5167234680766
1020,-3841.4574396204935
1021,-3839.400891310569
1022,-3837.3470724257013
1023,-3835.295976872496
1024,-3833.2475985766823
1025,-3831.2019314830454
1026,-3829.1589695553394
1027,-3827.118706776223
1028,-3825.0811371471686
1029,-3823.046254688402
1030,-3821.014053438816
1031,-3818.984527455904
1032,-3816.9576708156737
1033,-3814.9334776125893
1034,-3812.911941959483
1035,-3810.8930579874886
1036,-3808.876819845971
1037,-3806.8632217024438
1038,-3804.8522577425083
1039,-3802.843922169776
1040,-3800.838209205795
1041,-3798.8351130899814
1042,-3796.8346280795495
1043,-3794.836748449437
1044,-3792.8414684922445
1045,-3790.848782518147
1046,-3788.858684854848
1047,-3786.8711698474904
1048,-3784.8862318585966
1049,-3782.9038652680015
1050,-3780.924064472778
1051,-3778.9468238871764
1052,-3776.972137942549
1053,-3775.0000010872895
1054,-3773.030407786762
1055,-3771.063352523238
1056,-3769.098829795823
1057,-3767.1368341203993
1058,-3765.1773600295587
1059,-3763.220402072527
1060,-3761.2659548151128
1061,-3759.314012839636
1062,-3757.3645707448636
1063,-3755.417623145944
1064,-3753.4731646743494
1065,-3751.531189977803
1066,-3749.5916937202273
1067,-3747.6546705816695
1068,-3745.720115258245
1069,-3743.7880224620762
1070,-3741.8583869212275
1071,-3739.9312033796464
1072,-3738.0064665970976
1073,-3736.084171349104
1074,-3734.1643124268894
1075,-3732.246884637314
1076,-3730.331882802814
1077,-3728.419301761342
1078,-3726.509136366311
1079,-3724.6013814865287
1080,-3722.6960320061426
1081,-3720.793082824579
1082,-3718.8925288564906
1083,-3716.9943650316827
1084,-3715.0985862950733
1085,-3713.2051876066257
1086,-3711.314163941295
1087,-3709.4255102889615
1088,-3707.539221654385
1089,-3705.655293057146
